observation_date,CPIAUCSL
1948-01-01,23.680
1948-02-01,23.670
1948-03-01,23.500
1948-04-01,23.820
1948-05-01,24.010
1948-06-01,24.150
1948-07-01,24.400
1948-08-01,24.430
1948-09-01,24.360
1948-10-01,24.310
1948-11-01,24.160
1948-12-01,24.050
1949-01-01,24.010
1949-02-01,23.910
1949-03-01,23.910
1949-04-01,23.920
1949-05-01,23.910
1949-06-01,23.920
1949-07-01,23.700
1949-08-01,23.700
1949-09-01,23.750
1949-10-01,23.670
1949-11-01,23.700
1949-12-01,23.610
1950-01-01,23.510
1950-02-01,23.610
1950-03-01,23.640
1950-04-01,23.650
1950-05-01,23.770
1950-06-01,23.880
1950-07-01,24.070
1950-08-01,24.200
1950-09-01,24.340
1950-10-01,24.500
1950-11-01,24.600
1950-12-01,24.980
1951-01-01,25.380
1951-02-01,25.830
1951-03-01,25.880
1951-04-01,25.920
1951-05-01,25.990
1951-06-01,25.930
1951-07-01,25.910
1951-08-01,25.860
1951-09-01,26.030
1951-10-01,26.160
1951-11-01,26.320
1951-12-01,26.470
1952-01-01,26.450
1952-02-01,26.410
1952-03-01,26.390
1952-04-01,26.460
1952-05-01,26.470
1952-06-01,26.530
1952-07-01,26.680
1952-08-01,26.690
1952-09-01,26.630
1952-10-01,26.690
1952-11-01,26.690
1952-12-01,26.710
1953-01-01,26.640
1953-02-01,26.590
1953-03-01,26.630
1953-04-01,26.690
1953-05-01,26.700
1953-06-01,26.770
1953-07-01,26.790
1953-08-01,26.850
1953-09-01,26.890
1953-10-01,26.950
1953-11-01,26.850
1953-12-01,26.870
1954-01-01,26.940
1954-02-01,26.990
1954-03-01,26.930
1954-04-01,26.860
1954-05-01,26.930
1954-06-01,26.940
1954-07-01,26.860
1954-08-01,26.850
1954-09-01,26.810
1954-10-01,26.720
1954-11-01,26.780
1954-12-01,26.770
1955-01-01,26.770
1955-02-01,26.820
1955-03-01,26.790
1955-04-01,26.790
1955-05-01,26.770
1955-06-01,26.710
1955-07-01,26.760
1955-08-01,26.720
1955-09-01,26.850
1955-10-01,26.820
1955-11-01,26.880
1955-12-01,26.870
1956-01-01,26.830
1956-02-01,26.860
1956-03-01,26.890
1956-04-01,26.930
1956-05-01,27.030
1956-06-01,27.150
1956-07-01,27.290
1956-08-01,27.310
1956-09-01,27.350
1956-10-01,27.510
1956-11-01,27.510
1956-12-01,27.630
1957-01-01,27.670
1957-02-01,27.800
1957-03-01,27.860
1957-04-01,27.930
1957-05-01,28.000
1957-06-01,28.110
1957-07-01,28.190
1957-08-01,28.280
1957-09-01,28.320
1957-10-01,28.320
1957-11-01,28.410
1957-12-01,28.470
1958-01-01,28.640
1958-02-01,28.700
1958-03-01,28.870
1958-04-01,28.940
1958-05-01,28.940
1958-06-01,28.910
1958-07-01,28.890
1958-08-01,28.940
1958-09-01,28.910
1958-10-01,28.910
1958-11-01,28.950
1958-12-01,28.970
1959-01-01,29.010
1959-02-01,29.000
1959-03-01,28.970
1959-04-01,28.980
1959-05-01,29.040
1959-06-01,29.110
1959-07-01,29.150
1959-08-01,29.180
1959-09-01,29.250
1959-10-01,29.350
1959-11-01,29.350
1959-12-01,29.410
1960-01-01,29.370
